key,stitch_pvalue,tune_pvalue
r18_01,$ 1.233 \times 10^{-6} $,$ 1.003 \times 10^{-2} $
r18_02,$ 3.025 \times 10^{-1} $,$ 4.479 \times 10^{-6} $
r18_03,$ 1.088 \times 10^{-4} $,$ 1.114 \times 10^{-4} $
r18_04,$ 1.300 \times 10^{-28} $,$ 1.213 \times 10^{-1} $
r18_05,$ 1.680 \times 10^{-2} $,$ 3.024 \times 10^{-7} $
r34_04,$ 1.187 \times 10^{-1} $,$ 2.599 \times 10^{-1} $
r34_05,$ 2.462 \times 10^{-2} $,$ 4.407 \times 10^{-1} $
r34_06,$ 1.624 \times 10^{-64} $,$ 7.425 \times 10^{-3} $
r34_08,$ 2.936 \times 10^{-2} $,$ 1.253 \times 10^{-1} $
r34_09,$ 7.982 \times 10^{-7} $,$ 2.271 \times 10^{-6} $
r34_10,$ 9.219 \times 10^{-4} $,$ 8.809 \times 10^{-10} $
r34_11,$ 6.586 \times 10^{-16} $,$ 1.045 \times 10^{-4} $
r34_12,$ 0.000 \times 10^{+0} $,$ 2.640 \times 10^{-1} $
r50_01,$ 1.884 \times 10^{-1} $,$ 4.276 \times 10^{-4} $
r50_03,$ 7.686 \times 10^{-102} $,$ 4.856 \times 10^{-1} $
r50_04,$ 1.266 \times 10^{-55} $,$ 6.799 \times 10^{-4} $
r50_05,$ 7.410 \times 10^{-50} $,$ 4.313 \times 10^{-2} $
r50_06,$ 4.199 \times 10^{-3} $,$ 3.545 \times 10^{-3} $
r50_09,$ 4.468 \times 10^{-1} $,$ 2.569 \times 10^{-1} $
r50_11,$ 1.620 \times 10^{-19} $,$ 1.716 \times 10^{-4} $
